stock id,yf id
4131,4131.TWO
4138,4138.TWO
4139,4139.TWO
4147,4147.TWO
4153,4153.TWO
4154,4154.TWO
4157,4157.TWO
4160,4160.TWO
4161,4161.TWO
4162,4162.TWO
4163,4163.TWO
4167,4167.TWO
4168,4168.TWO
4171,4171.TWO
4173,4173.TWO
4174,4174.TWO
4175,4175.TWO
4183,4183.TWO
4188,4188.TWO
4192,4192.TWO
4198,4198.TWO
4205,4205.TWO
4207,4207.TWO
4303,4303.TWO
4304,4304.TWO
4305,4305.TWO
4401,4401.TWO
4402,4402.TWO
4406,4406.TWO
4413,4413.TWO
4416,4416.TWO
4417,4417.TWO
4419,4419.TWO
4420,4420.TWO
4430,4430.TWO
4432,4432.TWO
4433,4433.TWO
4442,4442.TWO
4502,4502.TWO
4503,4503.TWO
4506,4506.TWO
4510,4510.TWO
4513,4513.TWO
4523,4523.TWO
4527,4527.TWO
4528,4528.TWO
4529,4529.TWO
4530,4530.TWO
4533,4533.TWO
4534,4534.TWO
4535,4535.TWO
4538,4538.TWO
4541,4541.TWO
4542,4542.TWO
4543,4543.TWO
4549,4549.TWO
4550,4550.TWO
4554,4554.TWO
4556,4556.TWO
4558,4558.TWO
4561,4561.TWO
4563,4563.TWO
4568,4568.TWO
4577,4577.TWO
4580,4580.TWO
4584,4584.TWO
4609,4609.TWO
4702,4702.TWO
4706,4706.TWO
4707,4707.TWO
4711,4711.TWO
4712,4712.TWO
4714,4714.TWO
4716,4716.TWO
4721,4721.TWO
4726,4726.TWO
4728,4728.TWO
4729,4729.TWO
4735,4735.TWO
4741,4741.TWO
4743,4743.TWO
4744,4744.TWO
4745,4745.TWO
4747,4747.TWO
4754,4754.TWO
4760,4760.TWO
4767,4767.TWO
4768,4768.TWO
4804,4804.TWO
4806,4806.TWO
4903,4903.TWO
4905,4905.TWO
4907,4907.TWO
4908,4908.TWO
4909,4909.TWO
4911,4911.TWO
4923,4923.TWO
4924,4924.TWO
4931,4931.TWO
4933,4933.TWO
4939,4939.TWO
4945,4945.TWO
4946,4946.TWO
4950,4950.TWO
4951,4951.TWO
4953,4953.TWO
4966,4966.TWO
4971,4971.TWO
4972,4972.TWO
4973,4973.TWO
4974,4974.TWO
4979,4979.TWO
4987,4987.TWO
4991,4991.TWO
4995,4995.TWO
5009,5009.TWO
5011,5011.TWO
5013,5013.TWO
5014,5014.TWO
5015,5015.TWO
5016,5016.TWO
5201,5201.TWO
5202,5202.TWO
5205,5205.TWO
5206,5206.TWO
5209,5209.TWO
5210,5210.TWO
5211,5211.TWO
5212,5212.TWO
5213,5213.TWO
5220,5220.TWO
5223,5223.TWO
5227,5227.TWO
5228,5228.TWO
5230,5230.TWO
5236,5236.TWO
5245,5245.TWO
5251,5251.TWO
5263,5263.TWO
5272,5272.TWO
5274,5274.TWO
5276,5276.TWO
5278,5278.TWO
5287,5287.TWO
5289,5289.TWO
5291,5291.TWO
5299,5299.TWO
5301,5301.TWO
5302,5302.TWO
5309,5309.TWO
5310,5310.TWO
5312,5312.TWO
5314,5314.TWO
5315,5315.TWO
5321,5321.TWO
5324,5324.TWO
5328,5328.TWO
5340,5340.TWO
5344,5344.TWO
5345,5345.TWO
5347,5347.TWO
5348,5348.TWO
5351,5351.TWO
5353,5353.TWO
5355,5355.TWO
5356,5356.TWO
5364,5364.TWO
5371,5371.TWO
5381,5381.TWO
5386,5386.TWO
5392,5392.TWO
5398,5398.TWO
5403,5403.TWO
5410,5410.TWO
5425,5425.TWO
5426,5426.TWO
5432,5432.TWO
5438,5438.TWO
5439,5439.TWO
5443,5443.TWO
5450,5450.TWO
5452,5452.TWO
5455,5455.TWO
5457,5457.TWO
5460,5460.TWO
5464,5464.TWO
5465,5465.TWO
5468,5468.TWO
5474,5474.TWO
5475,5475.TWO
5478,5478.TWO
5481,5481.TWO
5483,5483.TWO
5487,5487.TWO
5488,5488.TWO
5489,5489.TWO
5490,5490.TWO
5493,5493.TWO
5498,5498.TWO
5508,5508.TWO
5511,5511.TWO
5512,5512.TWO
5514,5514.TWO
5516,5516.TWO
5520,5520.TWO
5523,5523.TWO
5529,5529.TWO
5530,5530.TWO
5536,5536.TWO
5543,5543.TWO
5548,5548.TWO
5601,5601.TWO
5603,5603.TWO
5604,5604.TWO
