代號,證券商名稱,地址
815A,台新-高雄,高雄市中山二路260號三樓之一
815B,台新-台中,台中市東興路二段187號3樓
8380,安泰,"高雄縣鳳山市五福二路36號1,2樓"
8381,安泰-大發,高雄市大寮區力行路105號
8382,安泰-楠梓,高雄市楠梓區興楠路285號1樓
8440,摩根大通,台北市信義路5段106號3樓部分
8450,康和,台北市信義區基隆路1段176號地下1樓部分、2樓
8451,康和-延平,台北市南京西路406號5樓
8455,康和-台中,台中市西屯區華美西街二段311號2樓(略)
8456,康和-新竹,新竹市四維路130號2樓之1
8458,康和-台南,台南市康樂街156號2樓
8459,康和-嘉義,嘉義市興業西路121號1樓及123號2樓
845A,康和-內湖,台北市文德路104號1、2樓及106號1、2樓
845B,康和-永和,台北縣永和市得和路104巷24號2樓(略)
845D,康和-板橋,台北縣板橋市三民路1段210號3樓
845E,康和-澎湖,澎湖縣馬公市大仁街9號2樓
845F,康和-仁愛,台北市仁愛路4段85號5樓
845J,康和-高雄,高雄市新興區中正三路55號17樓之1、2、3、4
845R,康和-石牌,台北市石牌路1段82號1、2樓
845S,康和-南崁,桃園縣蘆竹鄉南崁路66號、68號及66-1號、68-1號
845U,康和-台北,台北市松山區復興北路143號3樓、4樓
845X,康和-屏東,屏東市中正路123號5樓部分
8490,萬泰,嘉義市新榮路193號2樓、3樓部分
8520,中農,台中縣梧棲鎮四維中路157巷1號2、3、4樓
8560,新光,台北市重慶南路1段66之1號5樓
8561,新光-台中,台中市五權西路1段118號
8562,新光-高雄,高雄市苓雅區中華四路35、37號
8563,新光-新竹,新竹縣竹北市光明六路東1段238號(略)
8564,新光-台南,台南市東區東門路2段262號
8580,聯邦商銀,台北市南京東路2段137號2樓
8581,聯邦-高雄,高雄市苓雅區光華一路208號之1、208號2樓
8582,聯邦-嘉義,嘉義縣嘉義市中山路二八五之一號五樓(略)
8583,聯邦-敦化,台北市敦化南路一段209之1號及205號地下一樓
8584,聯邦-雙和,台北縣永和市中正路222號2樓
8585,聯邦-三重,台北縣三重市重新路3段10號4樓
8710,陽信,台北市民生東路5段165號地下之2
8711,陽信-石牌,台北市北投區石牌路1段88號1樓
8840,玉山,台北市松山區民生東路3段117號地下1樓
8841,玉山-雙和,台北縣永和市永和路1段69號1樓、2樓
8842,玉山-新莊,新北市新莊區中華路2段65號1樓、2樓
8843,玉山-高雄,高雄市九如一路156號1樓
8846,玉山-土城,台北縣土城市裕民路116號2樓
8847,玉山-台南,台南市崇學路138號3樓、4樓、5樓
8848,玉山-嘉義,嘉義市中山路294號1樓、2樓、3樓
8849,玉山-台大,台北市羅斯福路4段60號2樓、2樓之1
884A,玉山-士林,台北市士林區中正路266、266之1、266之2號
884B,玉山-台中,台中市府會園道179號13樓
884C,玉山-南京東路,台北市松山區南京東路5段89號地下一樓
884D,玉山-左營,高雄市左營區博愛二路576號地下一樓
884E,玉山-城中,台北市武昌街1段77號3樓
884F,玉山-桃園,桃園縣桃園市信光路125號3樓.4樓
884H,玉山-新竹,新竹市光復路一段569號3樓、4樓
884J,玉山-大里,台中市大里區國光路二段407號3樓
8880,國泰,台北市敦化南路2段333號19樓部分(略)
8881,國泰-高雄,高雄市新興區中正三路55號3樓部分、9樓之3
8882,國泰-台中,台中市西區中華路一段35號2樓﹝部份﹞
8883,國泰-松江,台北市中山區松江路136號3樓(部分)
8884,國泰-台南,台南市民生路1段62號3樓（部分）
8885,國泰-桃園,桃園縣桃園市中正路1125號2樓(部分)
8886,國泰-新莊,新北市新莊區中正路387號12樓
8887,國泰-忠孝,台北市忠孝東路4段293號6樓之1
8888,國泰-敦南,台北市敦化南路二段218號5樓之1
888A,國泰-館前,台北市中正區館前路65號5樓部分
888K,國泰-板橋,台北縣板橋市三民路1段216號4樓部分
8890,大和國泰,台北市基隆路1段200號13樓之1(略)
8900,法銀巴黎,台北市信義路5段7號72樓(部分)
8960,香港上海匯豐,台北市信義區基隆路一段333號13樓部分
9100,群益金鼎,台北市松仁路101號4樓、97號14樓之2、97號4樓
9101,群益金鼎-敦南,台北市敦化南路2段97號地下之1、地下之2
9103,群益金鼎-松山,台北市南京東路4段130號11樓、11樓之1
9105,群益金鼎-高盛,高雄市中山二路505號1樓、2樓、地下1樓
9108,群益金鼎-海山,新北市板橋區東門街30之2號2樓(略)
910D,群益金鼎-大興,台北市忠孝東路4段270號6樓、11樓之3
9131,群益金鼎-民權,台中市民權路91號4、5樓
9134,群益金鼎-開元,台南市開元路280號3樓之1~2、4樓之1~2
9135,群益金鼎-經國,新竹市經國路2段62號3樓
9136,群益金鼎-西松,台北市南京東路5段213號3樓
9137,群益金鼎-士林,台北市中正路118-1號地下1樓(略)
9138,群益金鼎-中港,台中市梧棲區大仁路二段369號1、2樓
913D,群益金鼎-潭子,台中市潭子區潭陽里潭子街2段65巷13號1-3樓
913E,群益金鼎-基隆,基隆市信一路150號4樓
913H,群益金鼎-屏東,屏東縣屏東市永福路9號3樓、4樓
913I,群益金鼎-萬華,台北市西園路2段203號地下1樓
913N,群益金鼎-土城,新北市土城區中央路1段261號1樓
913R,群益金鼎-五福,高雄市大勇路85號6樓
913U,群益金鼎-崇德,台中市崇德路2段416號地下1樓-1
913Y,群益金鼎-館前,台北市館前路49號5樓
913g,群益金鼎-南三重,新北市三重區正義南路91、93、95、97、99號1樓
9183,群益金鼎-高雄,高雄市河東路165號1、2樓
9184,群益金鼎-台中,台中市忠明南路40號1、2樓、42號地下1樓
9185,群益金鼎-台南,台南市中西區民生路2段76號3樓(部份)及3樓之1
9186,群益金鼎-新竹,新竹市北大路307號5樓及6樓之3及6樓之2部分
9187,群益金鼎-彰化,彰化縣彰化市民生路279號6樓
9188,群益金鼎-三民,高雄市陽明路169號1樓
9189,群益金鼎-桃園,桃園縣桃園市中正路133號7樓
918A,群益金鼎-中壢,桃園縣中壢市中山路88號3樓
918B,群益金鼎-板橋,新北市板橋區三民路1段216號3樓
918C,群益金鼎-古亭,台北市和平西路1段3號2樓、2樓之1
918D,群益金鼎-東門,台南市北門路1段97號3、4樓及10樓之6
918E,群益金鼎-南京,台北市南京東路2段71號9樓
918F,群益金鼎-新店,新北市新店區北新路2段252號2樓之4(略)
918G,群益金鼎-新莊,新北市新莊區中華路2段160號1、2樓
918H,群益金鼎-中山,台北市林森北路372號2樓
918J,群益金鼎-永和,新北市永和區福和路353號2樓
918K,群益金鼎-東湖,台北市內湖區成功路5段460號8樓
918L,群益金鼎-建成,台中市東區建成路735號2樓及3樓
